px,wue,photo,gs,day,mn,cd,A_E
32.6923,,2.0049,,21,0,0.6,5.5869
34.4231,,2.9563,,21,0.4,0.6,4.9953
36.1538,,2.9563,,21,0.8,0.6,5.6526
37.8846,,3.0243,,21,1.2,0.6,4.8638
39.6154,,3.0922,,21,1.6,0.6,6.507
41.3462,,2.1068,,21,0,0.8,6.4413
43.2005,,2.1748,,21,0.4,0.8,5.2582
44.9313,,2.0388,,21,0.8,0.8,5.061
46.5385,,1.4612,,21,1.2,0.8,5.784
48.3929,,2.1068,,21,1.6,0.8,5.7183
,,5.0631,0.0431,28,0,0,
,,3.1262,0.041,28,0.4,0,
,,4.3155,0.0348,28,0.8,0,
,,4.6553,0.0459,28,1.2,0,
,,6.0146,0.041,28,1.6,0,
,,2.7864,0.0315,28,0,0.2,
,,4.5874,0.0392,28,0.4,0.2,
,,4.7913,0.0476,28,0.8,0.2,
,,3.466,0.0362,28,1.2,0.2,
,,4.1456,0.0338,28,1.6,0.2,
,,2.8883,0.0373,28,0,0.4,
,,4.0097,0.032,28,0.4,0.4,
,,2.9903,0.0273,28,0.8,0.4,
,,3.0243,0.0275,28,1.2,0.4,
,,3.6019,0.0273,28,1.6,0.4,
,,2.1748,0.0296,28,0,0.6,
,,2.7864,0.0236,28,0.4,0.6,
,,2.9903,0.0236,28,0.8,0.6,
,,3.3301,0.0287,28,1.2,0.6,
,,2.3786,0.0156,28,1.6,0.6,
,,3.1262,0.0417,28,0,0.8,
,,2.6845,0.0222,28,0.4,0.8,
,,2.9903,0.0295,28,0.8,0.8,
,,1.801,0.0201,28,1.2,0.8,
,,2.2427,0.0212,28,1.6,0.8,
