px,val,day
6.8698,5.0631,28
8.615,3.1262,28
10.2355,4.3155,28
11.9806,4.6553,28
13.7258,6.0146,28
15.4709,2.7864,28
17.2161,4.5874,28
18.8366,4.7913,28
20.5817,3.466,28
22.3269,4.1456,28
24.072,2.8883,28
25.8172,4.0097,28
27.4377,2.9903,28
29.3075,3.0243,28
30.928,3.6019,28
32.5485,2.1748,28
34.4183,2.7864,28
36.0388,2.9903,28
37.7839,3.3301,28
39.5291,2.3786,28
41.3989,3.1262,28
43.0194,2.6845,28
44.7645,2.9903,28
46.385,1.801,28
48.1302,2.2427,28
