px,val,day
7.1133,3.3981,21
8.605,2.7524,21
10.3453,3.6359,21
12.0856,2.9563,21
13.826,3.2282,21
15.5663,2.1068,21
17.1823,4.0437,21
19.047,2.9563,21
20.7873,3.2621,21
22.4033,3.2282,21
24.268,1.801,21
26.0083,2.7524,21
27.5,2.4806,21
29.3646,3.568,21
31.105,2.2767,21
32.8453,2.0049,21
34.4613,2.9563,21
36.2017,2.9563,21
38.0663,3.0243,21
39.6823,3.0922,21
41.4227,2.1068,21
43.163,2.1748,21
44.9033,2.0388,21
46.5193,1.4612,21
48.384,2.1068,21
